noise,n_experiments,parameter,name,estimate,true_value,relative_error,rms_normalized_error,seconds
1e-05,11,p7,"K_ads,3",30944.581073675883,17197.0,0.7994174026676678,0.1225846559740086,1003.8251869678497
1e-05,11,p8,"K_ads,4",123998.90954496068,124119.0,-0.0009675428825507539,0.1225846559740086,1003.8251869678497
1e-05,11,p9,Inhibition / adsorption,71482.55541721685,98084.0,-0.27121084563010434,0.1225846559740086,1003.8251869678497
1e-06,11,p1,A1,1287.7557032303296,15672.02,-0.9178309048080381,0.13065019407952894,1001.149112701416
1e-06,11,p2,E1,950.1040171866767,3453.38,-0.724877071973928,0.13065019407952894,1001.149112701416
1e-06,11,p3,"K_ads,1",14.809716742059043,30.836,-0.5197263995959578,0.13065019407952894,1001.149112701416
1e-06,11,p4,"K_ads,2",248.2340188480434,558.532,-0.5555598983620573,0.13065019407952894,1001.149112701416
1e-06,11,p5,A2,0.43229818243148405,0.7439,-0.418875947800129,0.13065019407952894,1001.149112701416
1e-06,11,p6,E2,39866.41566529907,40000.0,-0.003339608367523215,0.13065019407952894,1001.149112701416
1e-06,11,p7,"K_ads,3",31174.816830550855,17197.0,0.8128055376257984,0.13065019407952894,1001.149112701416
1e-06,11,p8,"K_ads,4",100076.08807860361,124119.0,-0.19370855325450886,0.13065019407952894,1001.149112701416
1e-06,11,p9,Inhibition / adsorption,54887.345542223695,98084.0,-0.44040469860299647,0.13065019407952894,1001.149112701416
1e-07,11,p1,A1,912.7882807595333,15672.02,-0.9417568200678959,0.16862565146446684,1011.9646193981171
1e-07,11,p2,E1,1204.5331267370009,3453.38,-0.6512016845128538,0.16862565146446684,1011.9646193981171
1e-07,11,p3,"K_ads,1",14.3589464931157,30.836,-0.534344710950976,0.16862565146446684,1011.9646193981171
1e-07,11,p4,"K_ads,2",189.67524982437567,558.532,-0.6604039700064175,0.16862565146446684,1011.9646193981171
1e-07,11,p5,A2,0.3261970889870081,0.7439,-0.561504114817841,0.16862565146446684,1011.9646193981171
1e-07,11,p6,E2,41862.73727168186,40000.0,0.04656843179204643,0.16862565146446684,1011.9646193981171
1e-07,11,p7,"K_ads,3",49716.034096805415,17197.0,1.89097133783831,0.16862565146446684,1011.9646193981171
1e-07,11,p8,"K_ads,4",82979.11861666883,124119.0,-0.3314551469422987,0.16862565146446684,1011.9646193981171
