noise,experiment,methanol,x1,x2,x3,x4,x5,x6,x7
1e-05,1,0.006894858710791696,0.15228728516744902,0.14751375095646294,0.00797365457332734,0.006762546707509746,0.11733286518057269,483.28139278663843,35.940806375551645
1e-05,2,0.0031707295898843373,0.1429488626888541,0.2009134066021932,0.009418028652699372,0.0024824571462957103,0.2846643455499955,516.7237453100372,18.356427745793923
1e-05,3,0.0034839545641993765,0.20162312321859693,0.23297198789912765,0.006974534998820221,0.0032647286407011212,0.22017844899901995,472.0134955545486,17.855809933977284
1e-05,4,0.002794308193684993,0.13677598824726095,0.1510150277432058,0.004651931537020509,0.0026642102829077096,0.24473292102744207,469.32943892894946,19.53141766620201
1e-05,5,0.006791002376940472,0.12108289285533527,0.18978520204973698,0.008547419043740014,0.0060162124169371315,0.279596508340795,522.4781361092021,45.119296108765234
1e-05,6,0.00533053617065697,0.31374769436232275,0.18192790136235296,0.00937672958767757,0.004949879400788243,0.08213195474699625,495.17787074747605,38.27636231898356
1e-05,7,0.003941237820662888,0.17610491400742256,0.23551810102123585,0.002570741752765343,0.0033982833761031983,0.0776560195928782,485.5446479944286,15.175781680099613
1e-05,8,0.00648379300810459,0.2445790451429261,0.14235740611376774,0.0006808768948794575,0.006168289772563805,0.052897896084361025,480.438838721959,30.43103838066413
1e-05,9,0.0049367056479647205,0.1345465384444212,0.13268932946281525,0.004743331153335445,0.004763688550811919,0.07656970614585008,479.75652681480483,24.767349193481834
1e-05,10,0.005435391346870808,0.15993321887299844,0.17241423891989738,0.0021197903635151063,0.004956305966730407,0.07387839774922127,533.8482652466945,21.304570653326227
1e-05,11,0.010505331999200564,0.30151000955464113,0.16852227663759012,0.001158963943609478,0.00976890313890581,0.1367702198671597,525.2789128595427,17.73886220319888
1e-05,12,0.010122655698784835,0.2529407580745746,0.17216629645083853,0.007110595772139533,0.0095112452901114,0.139104689303166,519.0182697163013,16.659033036928925
1e-05,13,0.009914652640500989,0.13738748787920158,0.2212891069069295,0.005727048283566138,0.00935819962781393,0.12520684672267893,515.8370238208465,17.57110186766251
1e-05,14,0.01044836129972471,0.190963295887355,0.13193813379862146,0.0012353507064895308,0.00970633130374214,0.24707510109629535,545.8541642277876,29.6072602188067
1e-05,15,0.008345275909817733,0.19008423219449275,0.22921679148218385,0.005348871315437315,0.0081838471960393,0.22968452619966034,474.72642451327687,41.08976726204619
1e-05,16,0.004881050194551458,0.1861403032907616,0.20487703218658349,0.0006537288785935113,0.004143801247622778,0.04857316492938115,514.0102519432626,24.159901124653928
