noise,total_experiments_used,parameter,name,estimate,true_value,relative_error,rms_normalized_parameter_error,cumulative_information
1e-07,24,p6,E2,29335.8042,40000.0,-0.266604895,0.3713655838310131,
1e-07,24,p7,"K_ads,3",24058.8542,17197.0,0.3990146071989301,0.3713655838310131,
1e-07,24,p8,"K_ads,4",27484.4094,124119.0,-0.7785640441834046,0.3713655838310131,
1e-07,24,p9,Inhibition / adsorption,27404.7396,98084.0,-0.7205992863260062,0.3713655838310131,
1e-07,26,p1,A1,3474.567,15672.02,-0.7782948847691619,0.3274714932085679,
1e-07,26,p2,E1,15.3304029,3453.38,-0.9955607541307356,0.3274714932085679,
1e-07,26,p3,"K_ads,1",0.196581635,30.836,-0.9936249307627448,0.3274714932085679,
1e-07,26,p4,"K_ads,2",41.4345521,558.532,-0.9258152583916409,0.3274714932085679,
1e-07,26,p5,A2,97.9763403,0.7439,130.70633189944886,0.3274714932085679,
1e-07,26,p6,E2,34602.6664,40000.0,-0.13493333999999996,0.3274714932085679,
1e-07,26,p7,"K_ads,3",28497.5405,17197.0,0.6571227830435541,0.3274714932085679,
1e-07,26,p8,"K_ads,4",33091.0916,124119.0,-0.7333922155350914,0.3274714932085679,
1e-07,26,p9,Inhibition / adsorption,33007.2159,98084.0,-0.6634801201011378,0.3274714932085679,
1e-07,28,p1,A1,0.120219012,15672.02,-0.9999923290672166,0.5025866803653823,
1e-07,28,p2,E1,3.09213846,3453.38,-0.9991046052099681,0.5025866803653823,
1e-07,28,p3,"K_ads,1",0.115989141,30.836,-0.9962385153392139,0.5025866803653823,
1e-07,28,p4,"K_ads,2",0.132045342,558.532,-0.9997635850013966,0.5025866803653823,
1e-07,28,p5,A2,0.549614407,0.7439,-0.26117165344804416,0.5025866803653823,
1e-07,28,p6,E2,26742.4022,40000.0,-0.331439945,0.5025866803653823,
1e-07,28,p7,"K_ads,3",12800.5517,17197.0,-0.25565204977612377,0.5025866803653823,
1e-07,28,p8,"K_ads,4",18125.1985,124119.0,-0.8539691868287692,0.5025866803653823,
1e-07,28,p9,Inhibition / adsorption,40424.978,98084.0,-0.5878534929244321,0.5025866803653823,
1e-07,30,p1,A1,0.125413058,15672.02,-0.999991997645613,0.5048129144109298,
1e-07,30,p2,E1,3.14238036,3453.38,-0.9990900565938298,0.5048129144109298,
1e-07,30,p3,"K_ads,1",0.119145122,30.836,-0.9961361680503308,0.5048129144109298,
1e-07,30,p4,"K_ads,2",0.140218147,558.532,-0.9997489523482986,0.5048129144109298,
1e-07,30,p5,A2,0.554056319,0.7439,-0.25520053905094775,0.5048129144109298,
1e-07,30,p6,E2,28313.6421,40000.0,-0.2921589475,0.5048129144109298,
1e-07,30,p7,"K_ads,3",14036.4443,17197.0,-0.18378529394661863,0.5048129144109298,
1e-07,30,p8,"K_ads,4",16646.1427,124119.0,-0.8658856202515328,0.5048129144109298,
1e-07,30,p9,Inhibition / adsorption,40364.4629,98084.0,-0.5884704651115371,0.5048129144109298,
1e-07,32,p1,A1,0.122303421,15672.02,-0.9999921960652807,0.5055198430477329,
1e-07,32,p2,E1,3.90841014,3453.38,-0.9988682362960346,0.5055198430477329,
1e-07,32,p3,"K_ads,1",0.115087208,30.836,-0.9962677646906214,0.5055198430477329,
1e-07,32,p4,"K_ads,2",0.131030676,558.532,-0.9997654016672276,0.5055198430477329,
1e-07,32,p5,A2,0.548010231,0.7439,-0.2633280938298158,0.5055198430477329,
1e-07,32,p6,E2,27795.983,40000.0,-0.305100425,0.5055198430477329,
1e-07,32,p7,"K_ads,3",13812.42,17197.0,-0.19681223469209747,0.5055198430477329,
1e-07,32,p8,"K_ads,4",16189.8743,124119.0,-0.8695616762945239,0.5055198430477329,
1e-07,32,p9,Inhibition / adsorption,40362.2825,98084.0,-0.5884926950369072,0.5055198430477329,
1e-07,34,p1,A1,0.118799444,15672.02,-0.9999924196469887,0.5049671558505285,
1e-07,34,p2,E1,4.2475865,3453.38,-0.9987700205306106,0.5049671558505285,
1e-07,34,p3,"K_ads,1",0.111463237,30.836,-0.9963852887209755,0.5049671558505285,
1e-07,34,p4,"K_ads,2",0.125220815,558.532,-0.9997758036871656,0.5049671558505285,
1e-07,34,p5,A2,0.544509568,0.7439,-0.26803391853743774,0.5049671558505285,
1e-07,34,p6,E2,28112.4198,40000.0,-0.297189505,0.5049671558505285,
1e-07,34,p7,"K_ads,3",14223.171,17197.0,-0.17292719660405884,0.5049671558505285,
1e-07,34,p8,"K_ads,4",16290.5957,124119.0,-0.8687501857088761,0.5049671558505285,
1e-07,34,p9,Inhibition / adsorption,40337.1352,98084.0,-0.5887490803800824,0.5049671558505285,
1e-07,36,p1,A1,0.115779908,15672.02,-0.9999926123174933,0.5119035757615041,
1e-07,36,p2,E1,5.43496879,3453.38,-0.9984261886065247,0.5119035757615041,
1e-07,36,p3,"K_ads,1",0.10706838,30.836,-0.9965278122973148,0.5119035757615041,
1e-07,36,p4,"K_ads,2",0.106906441,558.532,-0.9998085938836092,0.5119035757615041,
