noise,n_experiments,parameter,name,estimate,true_value,relative_error,rms_normalized_error,seconds
1e-05,12,p5,A2,0.10000186818740574,0.7439,-0.8655708184064985,0.31619028596989524,620.9976193904877
1e-05,12,p6,E2,145873.22901505762,40000.0,2.6468307253764403,0.31619028596989524,620.9976193904877
1e-05,12,p7,"K_ads,3",94510.80069927925,17197.0,4.495772559125386,0.31619028596989524,620.9976193904877
1e-05,12,p8,"K_ads,4",79144.98075532091,124119.0,-0.3623459683423093,0.31619028596989524,620.9976193904877
1e-05,12,p9,Inhibition / adsorption,148185.86772716153,98084.0,0.5108057147665422,0.31619028596989524,620.9976193904877
1e-06,12,p1,A1,98626.48363964958,15672.02,5.29315708119627,0.3162417960690222,619.1120843887329
1e-06,12,p2,E1,26.606367915235,3453.38,-0.9922955574204881,0.3162417960690222,619.1120843887329
1e-06,12,p3,"K_ads,1",81.59659311619609,30.836,1.6461471369891068,0.3162417960690222,619.1120843887329
1e-06,12,p4,"K_ads,2",357.06119475286516,558.532,-0.36071488338561597,0.3162417960690222,619.1120843887329
1e-06,12,p5,A2,0.10000186745068476,0.7439,-0.8655708193968481,0.3162417960690222,619.1120843887329
1e-06,12,p6,E2,146112.27759870916,40000.0,2.652806939967729,0.3162417960690222,619.1120843887329
1e-06,12,p7,"K_ads,3",94759.80581807725,17197.0,4.51025212642189,0.3162417960690222,619.1120843887329
1e-06,12,p8,"K_ads,4",79338.62341485327,124119.0,-0.36078583121960967,0.3162417960690222,619.1120843887329
1e-06,12,p9,Inhibition / adsorption,148288.29136681833,98084.0,0.5118499588803305,0.3162417960690222,619.1120843887329
1e-07,12,p1,A1,98627.6934711724,15672.02,5.293234278106612,0.3225841810082426,643.8992869853973
1e-07,12,p2,E1,17.35335795081776,3453.38,-0.9949749642521768,0.3225841810082426,643.8992869853973
1e-07,12,p3,"K_ads,1",81.59844673481763,30.836,1.6462072491509157,0.3225841810082426,643.8992869853973
1e-07,12,p4,"K_ads,2",357.0587223428064,558.532,-0.36071931000765156,0.3225841810082426,643.8992869853973
1e-07,12,p5,A2,0.10000145856286458,0.7439,-0.8655713690511297,0.3225841810082426,643.8992869853973
1e-07,12,p6,E2,147245.56741841283,40000.0,2.681139185460321,0.3225841810082426,643.8992869853973
1e-07,12,p7,"K_ads,3",95131.99143705418,17197.0,4.531894600049671,0.3225841810082426,643.8992869853973
1e-07,12,p8,"K_ads,4",79717.99977558358,124119.0,-0.3577292777448773,0.3225841810082426,643.8992869853973
1e-07,12,p9,Inhibition / adsorption,147923.5423679845,98084.0,0.508131217813145,0.3225841810082426,643.8992869853973
1e-05,13,p1,A1,98625.82587513814,15672.02,5.293115110568907,0.3193743447761163,672.4328534603119
1e-05,13,p2,E1,12.025895043653701,3453.38,-0.996517645019183,0.3193743447761163,672.4328534603119
1e-05,13,p3,"K_ads,1",78.18728620638842,30.836,1.535584583162162,0.3193743447761163,672.4328534603119
1e-05,13,p4,"K_ads,2",362.46275152346647,558.532,-0.35104389448864803,0.3193743447761163,672.4328534603119
1e-05,13,p5,A2,0.10000208978124407,0.7439,-0.8655705205252803,0.3193743447761163,672.4328534603119
1e-05,13,p6,E2,124290.77762824715,40000.0,2.1072694407061787,0.3193743447761163,672.4328534603119
1e-05,13,p7,"K_ads,3",92602.86937189003,17197.0,4.384826968185732,0.3193743447761163,672.4328534603119
1e-05,13,p8,"K_ads,4",66864.60058557418,124119.0,-0.46128634144994574,0.3193743447761163,672.4328534603119
1e-05,13,p9,Inhibition / adsorption,141066.488451887,98084.0,0.438221202763825,0.3193743447761163,672.4328534603119
1e-06,13,p1,A1,98625.82679898324,15672.02,5.293115169517601,0.31892143119258837,650.0502123832703
1e-06,13,p2,E1,12.359105098329284,3453.38,-0.9964211569250042,0.31892143119258837,650.0502123832703
1e-06,13,p3,"K_ads,1",78.3177978778196,30.836,1.5398170280782075,0.31892143119258837,650.0502123832703
1e-06,13,p4,"K_ads,2",361.5302155824967,558.532,-0.3527135140287456,0.31892143119258837,650.0502123832703
1e-06,13,p5,A2,0.10000208946913741,0.7439,-0.8655705209448349,0.31892143119258837,650.0502123832703
1e-06,13,p6,E2,124315.68936504165,40000.0,2.1078922341260413,0.31892143119258837,650.0502123832703
1e-06,13,p7,"K_ads,3",92504.41500208878,17197.0,4.379101878356037,0.31892143119258837,650.0502123832703
1e-06,13,p8,"K_ads,4",66796.04062150254,124119.0,-0.46183871428626927,0.31892143119258837,650.0502123832703
1e-06,13,p9,Inhibition / adsorption,140997.84939199573,98084.0,0.4375214040209996,0.31892143119258837,650.0502123832703
1e-07,13,p1,A1,98627.07455572435,15672.02,5.293194786359662,0.3146495459975823,681.7908577919006
1e-07,13,p2,E1,20.128889449687787,3453.38,-0.9941712497756725,0.3146495459975823,681.7908577919006
1e-07,13,p3,"K_ads,1",78.27508196891044,30.836,1.53843176705508,0.3146495459975823,681.7908577919006
1e-07,13,p4,"K_ads,2",361.66879157077113,558.532,-0.3524654065106903,0.3146495459975823,681.7908577919006
1e-07,13,p5,A2,0.10000166774169736,0.7439,-0.86557108785899,0.3146495459975823,681.7908577919006
1e-07,13,p6,E2,129227.23377490949,40000.0,2.230680844372737,0.3146495459975823,681.7908577919006
1e-07,13,p7,"K_ads,3",94177.1808165145,17197.0,4.476372670611997,0.3146495459975823,681.7908577919006
1e-07,13,p8,"K_ads,4",68440.17603169808,124119.0,-0.4485922700658394,0.3146495459975823,681.7908577919006
1e-07,13,p9,Inhibition / adsorption,139389.12165932692,98084.0,0.42111987336698053,0.3146495459975823,681.7908577919006
1e-05,14,p1,A1,98627.04922644414,15672.02,5.293193170149357,0.3304198647159543,375.97061371803284
1e-05,14,p2,E1,7.976504865860233,3453.38,-0.997690232506744,0.3304198647159543,375.97061371803284
1e-05,14,p3,"K_ads,1",75.70592311109338,30.836,1.4551149017736862,0.3304198647159543,375.97061371803284
1e-05,14,p4,"K_ads,2",373.110843402792,558.532,-0.3319794686736087,0.3304198647159543,375.97061371803284
1e-05,14,p5,A2,0.10000167630346048,0.7439,-0.8655710763496969,0.3304198647159543,375.97061371803284
1e-05,14,p6,E2,131991.054198389,40000.0,2.299776354959725,0.3304198647159543,375.97061371803284
1e-05,14,p7,"K_ads,3",96466.64554095853,17197.0,4.609504305457843,0.3304198647159543,375.97061371803284
1e-05,14,p8,"K_ads,4",70378.00767612211,124119.0,-0.43297957866142883,0.3304198647159543,375.97061371803284
1e-05,14,p9,Inhibition / adsorption,139488.63908051664,98084.0,0.4221344875873399,0.3304198647159543,375.97061371803284
1e-06,14,p1,A1,98625.77534144369,15672.02,5.293111886115745,0.3208843574750901,683.4185607433319
1e-06,14,p2,E1,13.200239546951545,3453.38,-0.9961775884649382,0.3208843574750901,683.4185607433319
1e-06,14,p3,"K_ads,1",75.62454441494346,30.836,1.452475820954192,0.3208843574750901,683.4185607433319
1e-06,14,p4,"K_ads,2",373.60700339924483,558.532,-0.33109113998975026,0.3208843574750901,683.4185607433319
1e-06,14,p5,A2,0.10000210685707232,0.7439,-0.8655704975708128,0.3208843574750901,683.4185607433319
1e-06,14,p6,E2,128085.44393449613,40000.0,2.2021360983624034,0.3208843574750901,683.4185607433319
1e-06,14,p7,"K_ads,3",95236.46330662619,17197.0,4.537969605549002,0.3208843574750901,683.4185607433319
1e-06,14,p8,"K_ads,4",69106.62160506808,124119.0,-0.44322286189005644,0.3208843574750901,683.4185607433319
1e-06,14,p9,Inhibition / adsorption,141144.753589951,98084.0,0.4390191426731271,0.3208843574750901,683.4185607433319
1e-07,14,p1,A1,98625.77561964677,15672.02,5.293111903867323,0.3208849239069578,682.0172998905182
1e-07,14,p2,E1,13.208195589611071,3453.38,-0.9961752846227142,0.3208849239069578,682.0172998905182
1e-07,14,p3,"K_ads,1",75.6340877587757,30.836,1.4527853080417599,0.3208849239069578,682.0172998905182
1e-07,14,p4,"K_ads,2",373.577700548106,558.532,-0.3311436040404024,0.3208849239069578,682.0172998905182
1e-07,14,p5,A2,0.10000210676282789,0.7439,-0.8655704976975026,0.3208849239069578,682.0172998905182
1e-07,14,p6,E2,128078.37131528028,40000.0,2.201959282882007,0.3208849239069578,682.0172998905182
1e-07,14,p7,"K_ads,3",95243.67117860478,17197.0,4.538388740978355,0.3208849239069578,682.0172998905182
1e-07,14,p8,"K_ads,4",69098.08122055384,124119.0,-0.44329166992520214,0.3208849239069578,682.0172998905182
1e-07,14,p9,Inhibition / adsorption,141165.8276773848,98084.0,0.4392340002180254,0.3208849239069578,682.0172998905182
1e-05,15,p1,A1,98627.55769887647,15672.02,5.293225614750138,0.32859446426245115,740.1746454238892
1e-05,15,p2,E1,9.321532945845261,3453.38,-0.9973007508742607,0.32859446426245115,740.1746454238892
1e-05,15,p3,"K_ads,1",73.44937556904807,30.836,1.3819359050800388,0.32859446426245115,740.1746454238892
1e-05,15,p4,"K_ads,2",383.7238375850261,558.532,-0.3129778820461029,0.32859446426245115,740.1746454238892
1e-05,15,p5,A2,0.10000150445449883,0.7439,-0.8655713073605339,0.32859446426245115,740.1746454238892
1e-05,15,p6,E2,131492.60183202798,40000.0,2.2873150458006997,0.32859446426245115,740.1746454238892
1e-05,15,p7,"K_ads,3",97588.52597430589,17197.0,4.674741290591724,0.32859446426245115,740.1746454238892
1e-05,15,p8,"K_ads,4",71183.92390663149,124119.0,-0.426486485496729,0.32859446426245115,740.1746454238892
1e-05,15,p9,Inhibition / adsorption,141178.05060967884,98084.0,0.43935861720238617,0.32859446426245115,740.1746454238892
1e-06,15,p1,A1,98625.72919035332,15672.02,5.293108941307714,0.32222343121614283,723.5616941452026
1e-06,15,p2,E1,13.939474796975976,3453.38,-0.9959635270960694,0.32222343121614283,723.5616941452026
1e-06,15,p3,"K_ads,1",73.51490655306331,30.836,1.3840610504949837,0.32222343121614283,723.5616941452026
1e-06,15,p4,"K_ads,2",383.4439396201784,558.532,-0.3134790135208397,0.32222343121614283,723.5616941452026
1e-06,15,p5,A2,0.10000212245252202,0.7439,-0.8655704766063691,0.32222343121614283,723.5616941452026
1e-06,15,p6,E2,130695.98378179171,40000.0,2.2673995945447927,0.32222343121614283,723.5616941452026
1e-06,15,p7,"K_ads,3",97261.40080393307,17197.0,4.655719067507883,0.32222343121614283,723.5616941452026
1e-06,15,p8,"K_ads,4",70864.13621912728,124119.0,-0.42906294588961175,0.32222343121614283,723.5616941452026
1e-06,15,p9,Inhibition / adsorption,141509.1512866375,98084.0,0.4427343020945057,0.32222343121614283,723.5616941452026
1e-07,15,p1,A1,98625.72905971236,15672.02,5.293108932971777,0.32220504948303313,737.73983502388
1e-07,15,p2,E1,13.934446490977654,3453.38,-0.9959649831495585,0.32220504948303313,737.73983502388
1e-07,15,p3,"K_ads,1",73.52840312896888,30.836,1.3844987394269321,0.32220504948303313,737.73983502388
1e-07,15,p4,"K_ads,2",383.4194975606583,558.532,-0.31352277477269297,0.32220504948303313,737.73983502388
1e-07,15,p5,A2,0.10000212249670304,0.7439,-0.865570476546978,0.32220504948303313,737.73983502388
1e-07,15,p6,E2,130673.33227455882,40000.0,2.2668333068639708,0.32220504948303313,737.73983502388
1e-07,15,p7,"K_ads,3",97240.16903652053,17197.0,4.654484447084988,0.32220504948303313,737.73983502388
1e-07,15,p8,"K_ads,4",70856.365408759,124119.0,-0.42912555363192584,0.32220504948303313,737.73983502388
1e-07,15,p9,Inhibition / adsorption,141514.5479879161,98084.0,0.44278932331385445,0.32220504948303313,737.73983502388
1e-05,16,p1,A1,98625.68800073773,15672.02,5.293106313081385,0.3240387875022806,766.3693718910217
1e-05,16,p2,E1,14.52410070846128,3453.38,-0.995794236166173,0.3240387875022806,766.3693718910217
1e-05,16,p3,"K_ads,1",71.28472247308954,30.836,1.311737011061407,0.3240387875022806,766.3693718910217
1e-05,16,p4,"K_ads,2",394.1504820416964,558.532,-0.29430993740430916,0.3240387875022806,766.3693718910217
1e-05,16,p5,A2,0.10000213637311739,0.7439,-0.8655704578933763,0.3240387875022806,766.3693718910217
1e-05,16,p6,E2,133058.0655118639,40000.0,2.326451637796598,0.3240387875022806,766.3693718910217
1e-05,16,p7,"K_ads,3",99710.51886703017,17197.0,4.798134492471371,0.3240387875022806,766.3693718910217
1e-05,16,p8,"K_ads,4",72534.69827466064,124119.0,-0.41560358789016477,0.3240387875022806,766.3693718910217
1e-05,16,p9,Inhibition / adsorption,141746.23491830373,98084.0,0.4451514509838886,0.3240387875022806,766.3693718910217
1e-06,16,p1,A1,98625.68537137988,15672.02,5.293106145307362,0.32401122036247426,761.9149587154388
1e-06,16,p2,E1,14.460800220277958,3453.38,-0.9958125661756662,0.32401122036247426,761.9149587154388
1e-06,16,p3,"K_ads,1",71.01955837768973,30.836,1.303137838166096,0.32401122036247426,761.9149587154388
1e-06,16,p4,"K_ads,2",395.7502789230837,558.532,-0.29144564873080914,0.32401122036247426,761.9149587154388
1e-06,16,p5,A2,0.10000213726137781,0.7439,-0.8655704566993173,0.32401122036247426,761.9149587154388
1e-06,16,p6,E2,133149.4631647686,40000.0,2.328736579119215,0.32401122036247426,761.9149587154388
1e-06,16,p7,"K_ads,3",99672.7299618505,17197.0,4.795937079830813,0.32401122036247426,761.9149587154388
1e-06,16,p8,"K_ads,4",72791.49058476962,124119.0,-0.41353466765950725,0.32401122036247426,761.9149587154388
1e-06,16,p9,Inhibition / adsorption,141743.96775362195,98084.0,0.4451283364628477,0.32401122036247426,761.9149587154388
1e-07,16,p1,A1,98625.68505173133,15672.02,5.2931061249112314,0.32415515770214803,760.7377388477325
1e-07,16,p2,E1,14.3024453839831,3453.38,-0.9958584212035794,0.32415515770214803,760.7377388477325
1e-07,16,p3,"K_ads,1",71.0123515781942,30.836,1.3029041243414905,0.32415515770214803,760.7377388477325
1e-07,16,p4,"K_ads,2",395.7522334309818,558.532,-0.291442149364796,0.32415515770214803,760.7377388477325
1e-07,16,p5,A2,0.1000021372643562,0.7439,-0.8655704566953135,0.32415515770214803,760.7377388477325
1e-07,16,p6,E2,133107.15857787195,40000.0,2.3276789644467986,0.32415515770214803,760.7377388477325
1e-07,16,p7,"K_ads,3",99669.3388049749,17197.0,4.795739885152928,0.32415515770214803,760.7377388477325
1e-07,16,p8,"K_ads,4",72771.62722377967,124119.0,-0.4136947024727909,0.32415515770214803,760.7377388477325
1e-07,16,p9,Inhibition / adsorption,141759.0379790943,98084.0,0.44528198257712076,0.32415515770214803,760.7377388477325
1e-05,17,p1,A1,98625.65614514661,15672.02,5.293104280440339,0.32405859185252833,838.8219442367554
1e-05,17,p2,E1,15.033008310734997,3453.38,-0.9956468710912975,0.32405859185252833,838.8219442367554
1e-05,17,p3,"K_ads,1",70.53481580911601,30.836,1.2874178171330917,0.32405859185252833,838.8219442367554
1e-05,17,p4,"K_ads,2",396.94909185385967,558.532,-0.2892992848147293,0.32405859185252833,838.8219442367554
1e-05,17,p5,A2,0.10000214713760262,0.7439,-0.8655704434230372,0.32405859185252833,838.8219442367554
1e-05,17,p6,E2,133925.20338288994,40000.0,2.3481300845722486,0.32405859185252833,838.8219442367554
1e-05,17,p7,"K_ads,3",100017.1108953977,17197.0,4.81596271997428,0.32405859185252833,838.8219442367554
1e-05,17,p8,"K_ads,4",73068.9403609918,124119.0,-0.411299314681944,0.32405859185252833,838.8219442367554
1e-05,17,p9,Inhibition / adsorption,142487.48518381966,98084.0,0.45270875151726747,0.32405859185252833,838.8219442367554
1e-06,17,p1,A1,98625.6500176279,15672.02,5.293103889455724,0.32394630386275164,822.2522830963135
1e-06,17,p2,E1,14.881720937563031,3453.38,-0.9956906795841862,0.32394630386275164,822.2522830963135
1e-06,17,p3,"K_ads,1",70.83481460893181,30.836,1.2971466665239269,0.32394630386275164,822.2522830963135
1e-06,17,p4,"K_ads,2",396.27616172375997,558.532,-0.2905041041090574,0.32394630386275164,822.2522830963135
1e-06,17,p5,A2,0.10000214920899123,0.7439,-0.8655704406385385,0.32394630386275164,822.2522830963135
1e-06,17,p6,E2,133886.36205108446,40000.0,2.3471590512771114,0.32394630386275164,822.2522830963135
1e-06,17,p7,"K_ads,3",99738.43096180484,17197.0,4.799757571774428,0.32394630386275164,822.2522830963135
1e-06,17,p8,"K_ads,4",73110.2776269023,124119.0,-0.4109662692504588,0.32394630386275164,822.2522830963135
1e-06,17,p9,Inhibition / adsorption,142470.04615879818,98084.0,0.4525309546796438,0.32394630386275164,822.2522830963135
1e-07,17,p1,A1,98625.64866770623,15672.02,5.293103803319944,0.32387829385759487,793.7404928207397
1e-07,17,p2,E1,14.921953420208148,3453.38,-0.9956790294088088,0.32387829385759487,793.7404928207397
1e-07,17,p3,"K_ads,1",70.86693740976074,30.836,1.2981883969957433,0.32387829385759487,793.7404928207397
1e-07,17,p4,"K_ads,2",396.2083936002468,558.532,-0.29062543667999907,0.32387829385759487,793.7404928207397
1e-07,17,p5,A2,0.10000214966512642,0.7439,-0.8655704400253711,0.32387829385759487,793.7404928207397
1e-07,17,p6,E2,133874.25805956405,40000.0,2.346856451489101,0.32387829385759487,793.7404928207397
1e-07,17,p7,"K_ads,3",99705.09441842779,17197.0,4.797819062535779,0.32387829385759487,793.7404928207397
1e-07,17,p8,"K_ads,4",73101.74856561421,124119.0,-0.41103498605681477,0.32387829385759487,793.7404928207397
1e-07,17,p9,Inhibition / adsorption,142461.559307516,98084.0,0.4524444283218058,0.32387829385759487,793.7404928207397
1e-05,18,p1,A1,98625.63906496196,15672.02,5.293103190588192,0.3228537267103209,470.8009374141693
1e-05,18,p2,E1,16.276228437908447,3453.38,-0.9952868701278433,0.3228537267103209,470.8009374141693
1e-05,18,p3,"K_ads,1",73.07457650056635,30.836,1.3697813108239187,0.3228537267103209,470.8009374141693
1e-05,18,p4,"K_ads,2",388.22306230264644,558.532,-0.3049224354152557,0.3228537267103209,470.8009374141693
1e-05,18,p5,A2,0.1000021529092204,0.7439,-0.8655704356644436,0.3228537267103209,470.8009374141693
